scene,cluster,N_points,dx,dy,dz,x_mean,y_mean,z_mean,intensity_mean,intensity_std
0000001,0,64198,22.95833,24.944736,0.6718589,1.5622561,-0.15693977,0.2592828,4.047556,6.6809506
0000001,1,21,1.411766,0.20449734,0.11537743,-8.615077,10.780124,0.1830167,2.047619,1.16087
0000001,2,487,16.287113,7.2749166,0.476342,-0.73301846,12.582481,0.23082341,8.273101,18.201586
0000001,3,226,16.789223,3.4627557,0.18609989,2.8610983,10.025267,0.19965751,4.5486727,1.4726614
0000001,4,13,1.5543056,0.77033424,0.03262362,-2.1914656,21.896515,0.2978817,8.153846,5.014083
0000001,5,5,0.9993706,0.32469177,0.021332175,-2.3519952,16.588058,0.21512246,2.8,0.4472136
0000001,6,16,1.737827,0.1409893,0.14184812,0.6727685,16.436867,0.30951184,8.0,3.0550504
0000001,7,4,0.20783353,0.0479393,0.108771265,2.955037,16.343813,0.3939295,12.0,6.6833124
0000001,8,6,0.34896326,0.19682693,0.11361721,4.9697237,16.510338,0.45270494,10.666667,6.408328
0000001,9,40,2.2798471,1.9658079,0.2217615,5.764296,14.030452,0.41445932,5.825,8.560157
0000001,10,5,0.49705696,0.81482124,0.110841125,6.162397,15.98685,0.4510476,5.2,2.588436
0000001,11,9,0.7373352,0.36276817,0.15629551,9.660746,20.23618,0.51729655,3.5555556,1.3333334
0000001,12,20,2.9553823,0.4104805,0.1968885,12.505739,20.443026,0.57378364,4.1,3.5228577
0000001,13,13,0.30793476,0.46696568,0.2394304,11.713398,15.124335,0.50348973,14.461538,8.471672
0000001,14,87,4.316104,2.0528069,0.39683703,13.734618,11.939129,0.5873662,12.172414,9.923202
0000001,15,50,3.66646,3.3386354,0.42020914,18.887302,9.870359,0.7055351,6.94,4.7182236
0000001,16,5,0.92641926,0.23772812,0.0016917288,14.334353,8.896841,0.28850737,3.2,0.4472136
0000001,17,7,0.29852104,0.35208142,0.34641892,27.70939,1.8828739,0.7166815,16.571428,7.84978
0000001,18,8,0.056661606,0.1448071,0.21000758,12.133496,-2.4788785,0.2813003,29.125,23.763342
0000001,19,17,2.042591,2.4212303,0.32985154,33.817078,-27.433016,0.6137908,37.764706,44.097237
0000001,20,6,0.989563,0.4447565,0.021540027,6.9748287,-16.13272,-0.0063829347,3.1666667,0.4082483
0000001,21,33,3.975333,2.0016203,0.32520425,3.0507936,-16.768818,-0.057410926,6.030303,6.478256
0000001,22,6,0.2526698,0.19831467,0.28125584,5.3466,-21.538004,-0.0041358336,8.666667,8.430105
0000001,23,5,0.093276024,0.02691269,0.1841515,-2.375876,-14.965326,-0.05340261,18.2,13.217413
0000001,24,38,5.1493635,3.8257465,0.31054518,-5.2522125,-15.08975,-0.20444477,5.6578946,5.7903757
0000002,0,64522,24.710815,24.85588,0.8985497,1.5619662,-0.06634534,0.2741474,3.9096897,6.3743644
0000002,1,176,17.021591,3.336626,0.41733766,1.1895907,13.421915,0.4147329,3.6988637,1.5911177
0000002,2,213,17.849632,3.464982,0.45248854,2.2838757,11.396363,0.3773751,3.9201877,1.3417168
0000002,3,281,21.585773,5.233484,0.42763907,4.362824,9.400178,0.36692968,3.9928825,1.5306228
0000002,4,16,0.99851227,2.4240217,0.028728426,18.557735,12.739093,0.81211317,8.1875,3.7809832
0000002,5,65,2.6939583,7.870567,0.1848908,20.883694,5.8221607,0.7645736,8.923077,5.142676
0000002,6,5,0.51327896,0.72746015,0.0048790574,19.06064,2.931981,0.6054334,2.4,0.8944272
0000002,7,89,5.5760098,16.208643,0.6834053,24.844343,-5.93783,0.42720482,10.842696,3.8902526
0000002,8,24,1.7744865,3.377203,0.29487452,34.12515,-17.886703,0.56665254,29.708334,41.996357
0000002,9,8,1.1482182,1.824935,0.0623295,10.4346695,-13.906184,-0.07506248,2.75,0.46291006
0000002,10,6,0.18128347,0.038990974,0.26539513,2.8927128,-14.543485,-0.08751685,8.666667,4.7609525
0000002,11,5,0.24196386,0.027107239,0.7168085,4.8273416,-37.35698,-0.14167018,16.2,2.280351
0000002,12,18,2.7584844,1.3939991,0.23996273,1.3315611,-16.763403,-0.27985856,6.5,7.453779
0000002,13,7,0.08332872,0.07351875,0.24318424,-0.14456876,-12.806242,-0.10789854,8.285714,5.4989176
0000002,14,5,0.096743345,0.10164642,0.20275094,-3.2184734,-15.531517,-0.27256835,16.6,14.41527
0000002,15,6,0.1178422,0.10131836,0.20986703,-4.316686,-16.002106,-0.30400527,11.333333,7.5277267
0000002,16,6,0.303833,0.17700958,0.24527621,-5.2345614,-17.291307,-0.42258868,11.166667,7.9854035
0000003,0,64807,23.334713,23.509668,0.7473427,1.5109487,-0.08466806,0.26335093,3.8540897,5.8666034
0000003,1,108,8.801613,1.972889,0.51360196,-0.85102874,-13.381746,-0.31145594,3.175926,3.1141183
0000003,2,6,0.102202654,0.09175873,0.2731192,1.8375119,-16.105534,-0.13786775,21.666666,16.524729
0000003,3,5,0.10289037,0.03514862,0.20335594,-0.7917482,-16.045599,-0.27573553,20.4,18.555323
0000003,4,6,0.15681326,0.061422348,0.24316268,-0.7380256,-12.730392,-0.20301192,10.166667,4.9966655
0000003,5,5,0.22033644,0.11647797,0.21586744,-1.9396124,-16.666939,-0.35453233,19.0,14.265343
0000003,6,6,0.2098825,0.0963459,0.22465903,-2.6457636,-17.610394,-0.41035593,13.333333,8.594572
0000003,7,8,0.39401388,0.4642353,0.013895795,-7.310398,9.18754,0.12815051,1.0,0.0
0000003,8,333,22.640656,6.94139,0.32696408,4.1505237,7.8702674,0.32058942,4.5105104,1.7086009
0000003,9,268,22.823849,5.1587515,0.43281114,4.4993067,11.2391405,0.43400988,5.6567163,4.211816
0000003,10,266,19.679428,3.730628,0.35310817,3.0961168,9.789246,0.35193878,4.458647,1.7046497
0000003,11,116,9.746967,8.662121,0.20478761,20.467373,3.1655946,0.5871826,8.215517,5.688747
0000003,12,6,0.2524681,1.3147366,0.0017104745,31.218699,-0.05162772,0.77908707,16.166666,8.773065
0000003,13,7,1.3127785,1.13094,0.001586318,27.531185,-2.704016,0.5665476,8.857142,1.4638501
0000003,14,6,0.039608955,0.11000013,0.19369507,14.135104,-5.1379504,0.35842088,15.0,8.579044
0000003,15,6,0.5166302,1.1396837,0.2435145,16.790836,-11.26276,0.21208282,9.833333,7.6789756
0000003,16,6,0.05271721,0.114774704,0.21979332,10.915765,-6.917351,0.22968347,8.833333,4.9159603
0000003,17,5,0.11108637,0.061307907,0.21224429,4.5420656,-16.420437,-0.12536088,13.6,11.631853
0000005,0,63283,14.452246,19.955498,0.78950083,1.4471658,-0.12719165,0.2815514,3.8613687,5.961059
0000005,1,5,0.52598476,0.14016724,0.015458066,-9.8040285,11.926736,0.021881068,1.6,0.5477226
0000005,2,462,14.882202,18.689644,0.29181832,5.541356,3.4584672,0.2894714,6.1666665,1.6973673
0000005,3,1050,24.332222,20.12539,0.62816143,6.5876417,7.7681613,0.4089611,6.049524,5.525694
0000005,4,422,17.33562,16.140228,0.34436536,5.622537,5.1694093,0.31287187,4.85782,1.2188827
0000005,5,19,1.0734711,2.173322,0.013745546,17.110527,2.3051498,0.66770256,3.2631578,0.45241392
0000005,6,5,0.35254288,1.0620733,0.0037580132,18.054659,0.187756,0.6788818,2.2,1.3038405
0000005,7,5,0.07943344,1.3635454,0.0032477975,31.464285,-13.488928,0.85941947,10.0,3.7416575
0000005,8,26,0.6544838,3.758429,0.056185782,12.924432,-8.230149,0.34620637,2.6923077,0.73589295
0000005,9,7,0.4070263,0.94140816,0.022303805,10.588149,-11.358592,0.20967531,2.4285715,0.5345225
0000005,10,12,0.14740849,0.1496563,0.27129054,6.5035033,-9.520243,0.28843984,17.166666,17.465984
0000005,11,17,1.8251343,1.653656,0.07578708,5.2693567,-13.750323,0.028269758,2.3529413,0.4925922
0000005,12,8,0.1414175,0.039966583,0.21636954,4.619027,-11.235426,0.19489819,24.625,19.010805
0000005,13,14,1.6648517,0.8853674,0.054959737,3.2730582,-15.322032,-0.053637307,2.4285715,0.5135526
0000005,14,8,0.086060524,0.074103355,0.23963019,2.3794832,-13.048153,0.13799353,20.0,13.938641
0000005,15,6,0.8014246,0.18883896,0.008405238,1.4610246,-16.172796,-0.1169653,2.5,0.5477226
