scene,cluster,N_points,dx,dy,dz,x_mean,y_mean,z_mean,intensity_mean,intensity_std,is_cone,odom_timestamp,odom_x,odom_y,odom_z,odom_yaw,odom_vx,odom_vy,odom_yawrate,x_global,y_global
1,18,8,0.056661606,0.1448071,0.21000758,12.133496,-2.4788785,0.2813003,29.125,23.763342,True,1690471366.185646,-10.060138020196645,-0.6213523716723535,0.0,0.105596787736036,11.24583620310015,-0.1320067998165958,-0.1544590226808138,2.2670478496109197,-1.8075447384472079
2,13,7,0.08332872,0.07351875,0.24318424,-0.14456876,-12.806242,-0.10789854,8.285714,5.4989176,True,1690471366.735617,-15.572383279775234,-4.2751434898466965,0.0,0.3793849526002519,11.554039304903156,-0.475420646995588,-0.8724335710449307,-10.963890310834643,-16.22430776372615
2,14,5,0.096743345,0.10164642,0.20275094,-3.2184734,-15.531517,-0.27256835,16.6,14.41527,True,1690471366.735617,-15.572383279775234,-4.2751434898466965,0.0,0.3793849526002519,11.554039304903156,-0.475420646995588,-0.8724335710449307,-12.809914075998819,-19.89421373253347
2,15,6,0.1178422,0.10131836,0.20986703,-4.316686,-16.002106,-0.30400527,11.333333,7.5277267,True,1690471366.735617,-15.572383279775234,-4.2751434898466965,0.0,0.3793849526002519,11.554039304903156,-0.475420646995588,-0.8724335710449307,-13.655753354158266,-20.738062556223156
3,2,6,0.102202654,0.09175873,0.2731192,1.8375119,-16.105534,-0.13786775,21.666666,16.524729,True,1690471367.375654,-18.325668699383193,-13.320478862580464,0.0,0.9184861170004348,12.072617461793596,-0.4635140305862473,-0.8144832810388083,-4.411451820351628,-21.636682566859875
3,4,6,0.15681326,0.061422348,0.24316268,-0.7380256,-12.730392,-0.20301192,10.166667,4.9966655,True,1690471367.375654,-18.325668699383193,-13.320478862580464,0.0,0.9184861170004348,12.072617461793596,-0.4635140305862473,-0.8144832810388083,-8.657034549829497,-21.63462800377365
3,5,5,0.22033644,0.11647797,0.21586744,-1.9396124,-16.666939,-0.35453233,19.0,14.265343,True,1690471367.375654,-18.325668699383193,-13.320478862580464,0.0,0.9184861170004348,12.072617461793596,-0.4635140305862473,-0.8144832810388083,-6.258117252057094,-24.979087439854702
3,6,6,0.2098825,0.0963459,0.22465903,-2.6457636,-17.610394,-0.41035593,13.333333,8.594572,True,1690471367.375654,-18.325668699383193,-13.320478862580464,0.0,0.9184861170004348,12.072617461793596,-0.4635140305862473,-0.8144832810388083,-5.9370197288305135,-26.11295393766835
3,16,6,0.05271721,0.114774704,0.21979332,10.915765,-6.917351,0.22968347,8.833333,4.9159603,True,1690471367.375654,-18.325668699383193,-13.320478862580464,0.0,0.9184861170004348,12.072617461793596,-0.4635140305862473,-0.8144832810388083,-6.2024331786235365,-8.844897235504792
3,17,5,0.11108637,0.061307907,0.21224429,4.5420656,-16.420437,-0.12536088,13.6,11.631853,True,1690471367.375654,-18.325668699383193,-13.320478862580464,0.0,0.9184861170004348,12.072617461793596,-0.4635140305862473,-0.8144832810388083,-2.519474819738697,-19.678571833335234
5,10,12,0.14740849,0.1496563,0.27129054,6.5035033,-9.520243,0.28843984,17.166666,17.465984,True,1690471368.485759,-16.801137098928752,-25.927368256155308,0.0,1.6448005644056034,8.754151580884216,-0.3314225685228743,-0.4715377704731092,-7.7877992332675365,-18.73777004265286
5,14,8,0.086060524,0.074103355,0.23963019,2.3794832,-13.048153,0.13799353,20.0,13.938641,True,1690471368.485759,-16.801137098928752,-25.927368256155308,0.0,1.6448005644056034,8.754151580884216,-0.3314225685228743,-0.4715377704731092,-3.9646288825616143,-22.589660386729015
5,17,7,0.10334657,0.09775257,0.26291043,0.12725748,-14.618329,0.0113512,14.571428,8.141603,True,1690471368.485759,-16.801137098928752,-25.927368256155308,0.0,1.6448005644056034,8.754151580884216,-0.3314225685228743,-0.4715377704731092,-2.2322284013740035,-24.719627977465187
8,2,5,0.058781624,0.11794567,0.20675743,14.323755,8.750161,0.42544216,11.0,5.2915025,True,1690471370.205947,26.257157886867827,-8.89740942462214,0.0,-2.510128549111731,9.645469460442609,-0.3603329382693955,-1.259818616799059,19.860995175902897,-24.415926666962264
8,15,5,0.10098219,0.05285263,0.19474253,-0.80261004,-15.430418,-0.18371087,18.0,9.165152,True,1690471370.205947,26.257157886867827,-8.89740942462214,0.0,-2.510128549111731,9.645469460442609,-0.3603329382693955,-1.259818616799059,17.79600099761244,4.031272125576196
12,13,5,0.16648293,0.10295391,0.21496558,17.629217,1.626976,0.42674723,12.4,9.964938,True,1690471372.496028,-11.886839178632032,-12.946942116021782,0.0,2.373529027958362,11.385422368194718,0.3584814015228625,0.5146828953377528,-25.69711369520398,-1.8693674394696806
12,14,7,0.092017174,0.1769107,0.25788945,14.820617,-0.25230896,0.37751028,6.0,4.6547465,True,1690471372.496028,-11.886839178632032,-12.946942116021782,0.0,2.373529027958362,11.385422368194718,0.3584814015228625,0.5146828953377528,-22.371386082128232,-2.4689354210261407
12,19,8,0.1700182,0.13150406,0.25470757,8.9426985,-11.242283,0.3099908,5.875,6.512351,True,1690471372.496028,-11.886839178632032,-12.946942116021782,0.0,2.373529027958362,11.385422368194718,0.3584814015228625,0.5146828953377528,-10.508434061716798,1.3520362687319052
